photons,SDNR_40um,SDNR_50um,SDNR_60um,SDNR_70um,SDNR_80um,SDNR_90um,SDNR_100um,SDNR_110um,SDNR_120um,SDNR_130um,SDNR_140um,SDNR_150um,SDNR_160um,SDNR_170um,SDNR_180um,SDNR_190um,SDNR_200um
15117,6.490659527760845,5.993011661134501,6.500569507121074,5.882558830122793,6.934271062316709,5.886815696054513,4.578374112856653,6.048442066464661,5.517060608913332,6.477129471691118,6.959305467929376,6.0227530219929175,7.151416260525422,6.69399371683211,6.660156761518919,6.57363868670132,7.787648015230623
20309,7.29815963248862,7.687331286763367,6.950739020493852,6.0419143998492215,6.368059713283672,6.345276193860553,6.805273484965309,7.335184298006913,7.173191223864768,7.209739041463246,8.574018255713977,7.471794900697509,7.6872520935366415,7.96881334788756,7.379424523887962,8.044136388468779,8.213678676636466
27283,6.4809835714163215,7.406155822231028,7.051539298087919,6.450861431668195,7.77814515610846,8.482091971560152,6.277588456315421,7.938530388431435,8.756083811765654,7.875507990530213,9.487725308828256,8.192960313614838,8.967825235615885,9.012900727006336,8.71548599027539,9.392746860598244,9.385319542445439
36652,9.073762336220003,8.547258075514446,7.694329162414159,7.851034895165258,8.044130410288586,8.817141456964741,8.765709734682021,8.949762389665256,9.042444061253912,10.53187307462349,9.8156739148631,10.78876526753987,10.445408726686995,9.344494974445034,10.2247174324797,10.937492134635086,10.816647269743976
49238,9.385841529373003,7.691403067628663,9.04890997903633,8.336158724577842,9.17898269660474,8.593595471856439,10.425460911913378,10.986989003341316,11.36994538417349,10.578485412218823,10.537757531174869,11.637191484313124,11.477301281994198,11.84804673314603,12.343393546530804,11.6107986297147,12.572566475915464
66147,8.752310142065175,9.73960306525853,10.458921883070907,8.37890555607879,10.821244647698997,10.385425299759696,11.836480350420407,11.848974824060642,12.356306876121868,12.333547637553709,13.271961925213713,13.511972233054433,14.281049036846476,13.778562007314065,15.536178509800566,13.964032291184765,13.602579385139036
88862,8.793158257450294,10.411525052520396,9.725911553085718,11.75934255651402,11.583479991891773,11.75003723210254,11.956533612294663,13.358753167982972,13.9622170816097,14.676803172735047,15.9162282255156,15.573498485874074,17.005685908521958,16.19707680862381,16.650591815250433,14.796841680105402,17.44134509809367
119377,9.902643872775007,10.266591697094045,13.8054587238438,11.650554289406733,13.229999554601418,14.519596677679749,15.139157055255264,14.827220198861143,16.358269090371913,17.31903754486209,17.00781210383496,17.580793732127795,19.369601228513265,18.170190793501018,17.464213222781385,18.42145571143577,18.66302346831299
160371,12.531345539269374,12.523544943951096,14.162062493592227,15.039567920659758,14.496475236299943,15.28017703461447,17.808294576926315,19.763981653599632,19.661413099395304,21.143036397556106,20.57736782022604,21.51713472293969,20.09283972766677,21.3970676118276,21.192847752685,22.94909185650027,22.380618597184572
215443,13.83248276914182,14.483089995370296,14.373209792244827,17.851995126591348,17.63259629176988,19.56911495656574,20.439319314533943,21.13215374183025,21.181983302525268,21.909762048004264,22.904048536962726,24.328909596480703,22.79540986255336,24.297828645941987,25.33860518035736,27.6032194045775,24.540847309057607
